"category","subcategory","img","title","link","price"
"Fruits and vegetables","fruits","https://src.zakaz.atbmarket.com/cache/photos/18459/catalog_list_18459.jpg","Свiтi","https://www.atbmarket.com/product/sviti-1-gat","114.95"
"Fruits and vegetables","fruits","https://src.zakaz.atbmarket.com/cache/photos/10838/catalog_list_10838.jpg","Ківі Голд у кошику 0,5кг","https://www.atbmarket.com/product/kivi-gold-u-kosiku-05kg","74.90"
"Fruits and vegetables","fruits","https://src.zakaz.atbmarket.com/cache/photos/8235/catalog_list_8235.jpg","Хурма Піраміда 1 гат","https://www.atbmarket.com/product/hurma-piramida-1-gat","109.95"
"Fruits and vegetables","fruits","https://src.zakaz.atbmarket.com/cache/photos/6515/catalog_list_6515.jpg","Виноград синій","https://www.atbmarket.com/product/vinograd-sinij-1-gat","99.95"
"Fruits and vegetables","fruits","https://src.zakaz.atbmarket.com/cache/photos/4624/catalog_list_4624.jpg","Помело","https://www.atbmarket.com/product/pomelo-1-gat","134.95"
"Fruits and vegetables","fruits","https://src.zakaz.atbmarket.com/cache/photos/4543/catalog_list_4543.jpg","Апельсин фасований ваговий","https://www.atbmarket.com/product/apelsin-fas-vag-1-gat","89.95"
"Fruits and vegetables","fruits","https://src.zakaz.atbmarket.com/cache/photos/2820/catalog_list_2820.jpg","Манго ваг. 1 гат","https://www.atbmarket.com/product/mango-vag-1-gat","159.95"
"Fruits and vegetables","fruits","https://src.zakaz.atbmarket.com/cache/photos/2036/catalog_list_2036.jpg","Яблуко Ред Принц 1гат","https://www.atbmarket.com/product/abluko-red-princ-1gat","35.95"
"Fruits and vegetables","fruits","https://src.zakaz.atbmarket.com/cache/photos/1998/catalog_list_1998.png","Ківі у кошику 2 гат.","https://www.atbmarket.com/product/kivi-u-kosiku-2-gat","99.90"
"Fruits and vegetables","fruits","https://src.zakaz.atbmarket.com/cache/photos/1942/catalog_list_1942.png","Лимон Лайм","https://www.atbmarket.com/product/limon-lajm","169.95"
"Fruits and vegetables","fruits","https://src.zakaz.atbmarket.com/cache/photos/1879/catalog_list_1879.png","Груша","https://www.atbmarket.com/product/grusa-1-gat","56.95"
"Fruits and vegetables","fruits","https://src.zakaz.atbmarket.com/cache/photos/1869/catalog_list_1869.png","Кокос","https://www.atbmarket.com/product/kokos","29.90"
"Fruits and vegetables","fruits","https://src.zakaz.atbmarket.com/cache/photos/1844/catalog_list_1844.png","Ківі","https://www.atbmarket.com/product/kivi-vagove-1gat","99.95"
"Fruits and vegetables","fruits","https://src.zakaz.atbmarket.com/cache/photos/42/catalog_list_42.jpg","Яблуко зелене","https://www.atbmarket.com/product/abluko-zelene-1-gat","33.95"
"Fruits and vegetables","fruits","/image/none.jpg","Авокадо Reed елітне 1 шт 1 гат","https://www.atbmarket.com/product/avokado-reed-elitne-1-st-1-gat","79.90"
"Fruits and vegetables","fruits","/image/none.jpg","Авокадо хаас Ready to Eat 1 шт. 1 гат.","https://www.atbmarket.com/product/avokado-haas-ready-to-eat-1-st-1-gat","99.90"
"Fruits and vegetables","fruits","/image/none.jpg","Авокадо хаас Ready to Eat 2 шт. 1 гат.","https://www.atbmarket.com/product/avokado-haas-ready-to-eat-2-st-1-gat","99.90"
"Alco and Tobacco","wine","https://src.zakaz.atbmarket.com/cache/photos/28825/catalog_list_28825.jpg","Вино 1,5 л Aznauri Алазанська долина рожеве напівсолодке 9-13% об ск/пл Україна","https://www.atbmarket.com/product/vino-15-l-aznauri-alazanska-dolina-rozeve-napivsolodke-9-13-ob-skpl","96.50"
"Alco and Tobacco","wine","https://src.zakaz.atbmarket.com/cache/photos/25063/catalog_list_25063.jpg","Вино 1,5л Азнаури Алазанська долина червоне напівсолодке 11%","https://www.atbmarket.com/product/vino-15l-aznauri-alazanska-dolina-cervone-napivsolodke-11","96.50"
"Alco and Tobacco","wine","https://src.zakaz.atbmarket.com/cache/photos/25061/catalog_list_25061.jpg","Вино 1,5л Азнаури Алазанська долина біле напівсолодке 9-13%, Україна","https://www.atbmarket.com/product/vino-15l-aznauri-alazanska-dolina-bile-napivsolodke-9-13-ukraina","96.50"
